Id	StctNo	TakenDate	InitType	HSISType	ChildType	ParentType	StctAdjoin	Location	StairIndp	Council1	Council2	ExitCnt	FacilityProvision	Status	InRegion	InvgORPorUAP	InvgStatusORPorUAP	InvgRemarksORPorUAP	InvgAgreeNo	DCInAgreeNo	ConnectAdjoin	BSNote1	BSNote2	BSNote3	BSInChecked	FollowupRegion	WidthNotAcpt	ToNonBFAPath	WideEnough	Gradlt10	WithSteps	StepsForBFA	AlterMeans	AlterDetail	AlterDist	Remarks	AtMainForBFA	ExitAToBuild	AtExitForA	ReasonAwNoBFA	DescAwBFA	AlterMeansAwBFA	AlterDetailAwBFA	AlterDistA	RemarksA	ExitAwBFA	ExitBToBuild	AtExitForB	ReasonBwNoBFA	DescBwBFA	AlterMeansBwBFA	AlterDetailBwBFA	AlterDistB	RemarksB	ExitBwBFA	ExitCToBuild	AtExitForC	ReasonCwNoBFA	DescCwBFA	AlterMeansCwBFA	AlterDetailCwBFA	AlterDistC	RemarksC	ExitCwBFA	ExitDToBuild	AtExitForD	ReasonDwNoBFA	DescDwBFA	AlterMeansDwBFA	AlterDetailDwBFA	AlterDistD	RemarksD	ExitDwBFA	ExitEToBuild	AtExitForE	ReasonEwNoBFA	DescEwBFA	AlterMeansEwBFA	AlterDetailEwBFA	AlterDistE	RemarksE	ExitEwBFA	ExitFToBuild	AtExitForF	ReasonFwNoBFA	DescFwBFA	AlterMeansFwBFA	AlterDetailFwBFA	AlterDistF	RemarksF	ExitFwBFA	ExitGToBuild	AtExitForG	ReasonGwNoBFA	DescGwBFA	AlterMeansGwBFA	AlterDetailGwBFA	AlterDistG	RemarksG	ExitGwBFA	ExitHToBuild	AtExitForH	ReasonHwNoBFA	DescHwBFA	AlterMeansHwBFA	AlterDetailHwBFA	AlterDistH	RemarksH	ExitHwBFA	ExitJToBuild	AtExitForJ	ReasonJwNoBFA	DescJwBFA	AlterMeansJwBFA	AlterDetailJwBFA	AlterDistJ	RemarksJ	ExitJwBFA	ExitKToBuild	AtExitForK	ReasonKwNoBFA	DescKwBFA	AlterMeansKwBFA	AlterDetailKwBFA	AlterDistK	RemarksK	ExitKwBFA	DraftedBy	DraftedByPost	DraftedAt	EndorsedBy	EndorsedByPost	EndorsedAt	AuditedBy	AuditedByPost	AuditedAt
226	HF26	1976-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Across Harcourt Road near Hutchison House	No	Central & Western	NULL	2	No	Endorsed	Urban	Yes	Retrofitting works not feasible	See THB's letter (CB(1)2448/10-11(01)) to LegCo on 10/6/2011	CE 33/2007 (HY) ; CE55/2017(HY)	NULL	NULL	NULL	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	No	Staircase	NULL	No	NULL	NULL	  Alternative BFA route with extra distance over 250m  	No	Yes	No	Staircase	NULL	No	NULL	NULL	Alternative BFA route with extra distance over 250m  	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2016-08-23 00:00:00.000	Ka Hung NG	NULL	2016-08-30 00:00:00.000	NULL	NULL	NULL
227	HF27	1963-01-01 00:00:00.000	Parent	Footbridge	HF27A	NULL	NULL	Across Leighton Road near Irving Street	No	Wan Chai	NULL	3	Yes (with alternative BFA means)	Endorsed	Urban	Yes	Retrofitting works completed	NULL	CE 33/2007 (HY)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	No	No	Staircase only	NULL	Yes	Nearby at-grade crossing within 100m	98m	NULL	Yes (with alternative BFA means)	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2017-01-23 00:00:00.000	Wing Hong CHI	NULL	2017-01-24 00:00:00.000	NULL	NULL	NULL
228	HF27A	2014-01-09 00:00:00.000	Child	Footbridge	NULL	HF27	NULL	NULL	NULL	NULL	NULL	0	NULL	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2017-01-23 00:00:00.000	Wing Hong CHI	NULL	2017-01-24 00:00:00.000	NULL	NULL	NULL
229	HF2A	1996-09-19 00:00:00.000	Child	Footbridge	NULL	HF2	NULL	NULL	NULL	NULL	NULL	0	NULL	Endorsed	Urban	Yes	Retrofitting works completed	NULL	CE 33/2007 (HY)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2016-08-24 00:00:00.000	Ka Hung NG	NULL	2016-08-31 00:00:00.000	NULL	NULL	NULL
230	HF31	1971-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Across Chai Wan Road near Wan Tsui Road and Hong Man Street	No	Eastern	NULL	2	Yes (with alternative BFA means)	Endorsed	Urban	Yes	Others (see remarks)	NULL	CEXX/2018(HY) Package 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	No	Staircase only	NULL	Yes	Nearby at-grade crossing within 100m	43.3m	NULL	Yes (with alternative BFA means)	No	No	Staicase only	NULL	Yes	Nearby at-grade crossing within 100m	43.9m	NULL	Yes (with alternative BFA means)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2017-01-03 00:00:00.000	Wing Hong CHI	NULL	2017-01-03 00:00:00.000	NULL	NULL	NULL
231	HF32	1974-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	HF171	Pedder Street near Connaught Road Central & escalators no.11 & 12	No	Central & Western	NULL	2	Yes (with alternative BFA means)	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	Yes	None	Yes	Alternative BFA route (extra distance less than 200m)	30m extra distance  from exit A to exit B	Connected to HF171 via private footbridge	Yes (with alternative BFA means)	Yes	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	No	Staircase structure	NULL	Yes	Alternative BFA route (extra distance less than 200m)	30m extra distance  from exit A to exit B	Lift at HF171	Yes (with alternative BFA means)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-05-04 00:00:00.000	Ka Hung NG	NULL	2017-05-04 00:00:00.000	NULL	NULL	NULL
232	HF33	1978-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	along Lugard Road at Victoria Peak	No	Central & Western	NULL	6	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-04-21 00:00:00.000	Ka Hung NG	NULL	2017-04-21 00:00:00.000	NULL	NULL	NULL
233	HF35	1983-01-01 00:00:00.000	Parent	Footbridge	HF35A	NULL	HF68,HF58	across Harbour Road near Harbour Drive	No	Wan Chai	NULL	4	Yes (with alternative BFA means)	Endorsed	Urban	Yes	Retrofitting works completed	Retrofitting works completed as per LegCo paper no. CB(4)179/18-19(03).	CE 38/2009 (HY)	NULL	NULL	NULL	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	Lift at HF35A	Yes	Yes	No	Adjoining structure HF68 is escalator only	NULL	Yes	Alternative BFA route (extra distance less than 200m)	41	Exit B to Exit A	Yes (with alternative BFA means)	Yes	Yes	NULL	Exit solely connecting to building NOT opened 24 hours a day, with BFA provided while the exit is opened	NULL	NULL	NULL	"Building lift is not 24hr services". From the photo below it is a BFA.	Yes	Yes	Yes	NULL	Exit solely connecting to building NOT opened 24 hours a day, with BFA provided while the exit is opened	NULL	NULL	NULL	"Building lift is not 24hr services".   Exit D adjoins HF58 which is BFA from the record.    Therefore the record is updated.	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2016-08-26 00:00:00.000	Ka Hung NG	NULL	2016-08-30 00:00:00.000	NULL	NULL	NULL
234	HF35A	2015-06-05 00:00:00.000	Child	Footbridge	NULL	HF35	NULL	NULL	NULL	NULL	NULL	0	NULL	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2016-08-26 00:00:00.000	Ka Hung NG	NULL	2016-08-31 00:00:00.000	NULL	NULL	NULL
235	HF37	1980-01-01 00:00:00.000	Parent	Footbridge	HF37A&HF37B	NULL	HF171&HF137	Central Elevated Walkway System near Exchange Square	No	Central & Western	NULL	7	Yes (with alternative BFA means)	Endorsed	Urban	Yes	Retrofitting works completed	Retrofitting works completed as per LegCo paper no. CB(4)179/18-19(03).	CE 38/2009 (HY)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	Lift at HF171	Yes	No	No	nil	NULL	Yes	Alternative BFA route (extra distance less than 200m)	190m	Lift at HF171	Yes (with alternative BFA means)	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	Yes	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	Yes	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	Lift provide by child structure HF37B	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2018-03-20 00:00:00.000	Ka Hung NG	NULL	2018-03-21 00:00:00.000	NULL	NULL	NULL
236	HF37A	1980-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	HF157&HF93	Central Elevated Walkway System near Harbour Building	No	Central & Western	NULL	4	Yes	Endorsed	Urban	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	Yes	Yes	NULL	Exit solely connecting to building NOT opened 24 hours a day, with BFA provided while the exit is opened	NULL	NULL	NULL	24-hr BFA not provided by building. Alternative BFA route extra distance over 200m	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2016-08-30 00:00:00.000	Ka Hung NG	NULL	2016-08-30 00:00:00.000	NULL	NULL	NULL
237	HF37B	2016-12-02 00:00:00.000	Child	Footbridge	NULL	HF37	NULL	NULL	NULL	NULL	NULL	0	NULL	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2018-01-25 00:00:00.000	Ka Hung NG	NULL	2018-01-25 00:00:00.000	NULL	NULL	NULL
238	HF39	1972-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	across Gloucester Road adjacent to Marsh Road Flyover	No	Wan Chai	NULL	2	No	Endorsed	Urban	Yes	Retrofitting works not feasible	NULL	CE 38/2009 (HY) ; CE55/2017(HY)	NULL	NULL	NULL	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	No	Staircase only	NULL	No	NULL	NULL	NULL	No	No	No	Staircase only	NULL	No	NULL	NULL	NULL	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2016-09-06 00:00:00.000	Ka Hung NG	NULL	2016-09-07 00:00:00.000	NULL	NULL	NULL
239	HF40	1981-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	HF100	Cable Stayed Footbridge across Cotton Tree Drive	No	Central & Western	NULL	3	No	Endorsed	Urban	Yes	Retrofitting works being planned / constructed	Previously CE 38/2009 (HY)	CE 15/2017 (HY)	CE 15/2017 (HY)	Yes	Refer to the C&WDC T&TC Paper No. 3/2021 for the latest progress in Jan 2021.	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	Yes	No	No BFA provided by building	NULL	Yes	Others (please specify in Remarks)	NULL	  "Alternative BFA route with extra distance over 250m" - ramp is provided from the photo.  	Yes (with alternative BFA means)	No	No	The exit is fenced off due to redevelopment of building	NULL	No	NULL	NULL	The exit  is  fenced off due to redevelopment of building	No	Yes	No	No BFA provided by building	NULL	No	NULL	NULL	  Alternative BFA route with extra distance over 250m  	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chun Fung CHAN	MAIOW/STR(HN)	2021-04-13 00:00:00.000	Ka Wai SIN	NULL	2021-04-18 00:00:00.000	NULL	NULL	NULL
240	HF41	1981-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Across Wong Chuk Hang Road near Grantham Hospital, Aberdeen	No	Southern	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2017-01-05 00:00:00.000	Wing Hong CHI	NULL	2017-01-05 00:00:00.000	NULL	NULL	NULL
241	HF42	1981-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Across Wong Chuk Hang Road near Grantham Hospital, Aberdeen	No	Southern	NULL	3	Yes	Endorsed	Urban	Yes	Retrofitting works completed	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2016-06-27 00:00:00.000	Wing Hong CHI	NULL	2016-07-07 00:00:00.000	NULL	NULL	NULL
242	HF43	1972-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	HF99	across Gloucester Road at Canal Road West	No	Wan Chai	NULL	3	No	Endorsed	Urban	Yes	Retrofitting works not feasible	NULL	CE 38/2009 (HY)	NULL	NULL	NULL	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	Yes	No	Staircase only	NULL	No	NULL	NULL	Alternative BFA route extra distance over 200m	No	No	No	Staircase only	NULL	No	NULL	NULL	Alternative BFA route extra distance over 200m	No	No	No	Adjoining structure HF99 is staircase only	NULL	No	NULL	NULL	Alternative BFA route extra distance over 200m	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2016-08-29 00:00:00.000	Ka Hung NG	NULL	2016-08-30 00:00:00.000	NULL	NULL	NULL
243	HF45	1982-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Across Toll Gate of Aberdeen Tunnel at Wong Chuk Hang	No	Southern	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chi Wai CHENG	MIOW/STR(HS)	2017-08-16 00:00:00.000	Wing Hong CHI	NULL	2017-08-16 00:00:00.000	NULL	NULL	NULL
